Investor Name,Fund Stage,Fund Focus (Sectors),Location
406 Ventures,Seed,"Software, Cybersecurity, Healthcare",Boston
01 Advisors,"Pre-Seed, Seed, Series A","Blockchain, Entertainment, AI/ML","San Francisco, CA"
4/0 Capital,"Series A, Series B","Software, Mobile, SaaS",New York
1confirmation,Seed,"Blockchain, Info Tech",San Francisco
2.12 Angels,"Seed, Series A","Dev Tools, Prof Services","San Francisco, CA"
3ig Ventures,Seed,"Blockchain, E-Commerce",New York
3L Capital,"Seed, Series A, Series B, Series C","PropTech, Privacy, SaaS",Los Angeles
3Lines,Seed,"Climate, Software, Energy","Greenwood Village, CO"
3one4 Capital,"Seed, Series A, Series B","Mobile, EdTech, Sales Automation","Bangalore, India"
3VC,"Series A, Series B","Healthcare, AI/ML, Med Device","Vienna, Austria"
4BIO Capital,"Seed, Series A, Series B, Series C, Series D","Biotech, Healthcare, Med Device","London, UK"
4DX Ventures,"Pre-Seed, Seed, Series A","Apps, SpaceTech, IoT",Brooklyn
5AM Ventures,"Seed, Series A, Series B, Series C, Series D","Biotech, Life Science","Menlo Park, CA"
6th Man Ventures,"Pre-Seed, Seed","Blockchain, Software",New York
7BC Venture Capital,"Seed, Series A, Series B","AI/ML, Blockchain, FinTech, IoT",San Francisco
7percent Ventures,"Seed, Series A, Series B","AgTech, Food, Robotics","London, UK"
7thirty Capital,"Seed, Series A, Series B","AgTech, Cannabis, Supply Chain","Boulder, CO"
7wire Ventures,"Pre-Seed, Seed, Series A","Elder Care, Healthcare","Chicago, IL"
8VC,"Series A, Series B, Series C","Manufacturing, Climate, EdTech","Austin, San Francisco"
9Unicorns Accelerator Fund,"Seed, Series A","Consumer Electronics, Health","Mumbai, India"
9Yards Capital,"Series B, Series C, Series D","Manufacturing, B2B, FinTech",San Francisco
10Branch,Series B,"FinTech, Blockchain, AdTech",Portland
10T Holdings,"Series C, Series D",Blockchain,Greenwich
10X Capital,"Series B, Series C","Big Data, FinTech, Marketplace",New York
10x Group,"Seed, Series A, Series B","E-Commerce, Travel, FinTech","Munich, Germany"
10x Value Partners,"Seed, Series A",E-Commerce,"London, UK"
12/12 Ventures,"Seed, Series A, Series B","Cannabis, Info Tech",New York
14W,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","AI/ML, SaaS, Fashion",Sausalito
40 North Ventures,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS",New York
43North,"Seed, Series A, Series B","Events, FinTech, Marketplace",Buffalo
75 & Sunny,"Seed, Series A","Big Data, AdTech",Los Angeles
83North,"Seed, Series A, Series B","Big Data, Info Tech","London, UK"
111st West Capital,"Seed, Series A, Series B","Biotech, Pharma",Wyoming
13V Ventures,"Seed, Series A","Software, DeepTech",San Francisco
408 Ventures,"Pre-Seed, Seed, Series A","Software, Mobile, FinTech","Palo Alto, CA"
468 Capital,"Pre-Seed, Seed, Series A","Blockchain, Info Tech, AI/ML",San Francisco
500 Global,"Pre-Seed, Seed, Series A","AgTech, AudioTech, AI/ML","San Francisco, Brazil, India"
500 Startups,"Pre-Seed, Seed, Series A","FinTech, Blockchain, AI/ML",San Francisco
500 Startups Japan,"Seed, Series A","FinTech, SaaS, Sales Automation",San Francisco
500 Startups Vietnam,"Pre-Seed, Seed, Series A","Healthcare, Life Science, SaaS","Ho Chi Minh City, Vietnam"
